sid_total	session_id_total	ip_total	area	origin_channel	grouptype	time_type	year	quarter	month	day	hour
1	1	1	中国 湖南 娄底		1	1	2019	3	07	25	10
2	2	2	中国 江苏 宿迁		1	1	2019	3	07	01	21
14	14	12	中国 广东 广州		1	1	2019	3	07	01	14
2	2	2	中国 内蒙古 呼和浩特		1	1	2019	3	07	01	15
2	2	2	中国 广东 肇庆		1	1	2019	3	07	01	18
2	2	2	中国 江西 南昌		1	1	2019	3	07	25	09
4	4	4	中国 四川 成都		1	1	2019	3	07	01	17
2	2	2	中国 河南 郑州		1	1	2019	3	07	01	23
1	1	1	中国 湖南 益阳		1	1	2019	3	07	01	14
2	2	2	中国 甘肃 天水		1	2	2019	3	07	01	
1	1	1	中国 中国		1	1	2019	3	07	25	12
2	2	2	中国 山东		1	1	2019	3	07	25	18
1	1	1	未知		1	1	2019	3	07	01	21
2	2	2	中国 河南 郑州		1	1	2019	3	07	25	23
1	1	1	中国 江西		1	1	2019	3	07	01	22
1	1	1	中国 云南 西双版纳傣族自治州		1	2	2019	3	07	25	
3	3	3	中国 河南 郑州		1	1	2019	3	07	01	13
5	5	5	中国 湖南		1	1	2019	3	07	25	18
2	2	2	中国 湖南 常德		1	1	2019	3	07	25	20
1	1	1	中国 四川 自贡		1	1	2019	3	07	25	21
3	3	2	中国 山东		1	1	2019	3	07	25	09
4	4	4	中国 河南		1	1	2019	3	07	25	14
2	2	2	中国 河北 沧州		1	1	2019	3	07	25	14
1	1	1	中国 广西 桂林		1	1	2019	3	07	25	15
1	1	1	中国 陕西 咸阳		1	1	2019	3	07	01	16
1	1	1	中国 黑龙江		1	1	2019	3	07	01	09
3	3	3	中国 湖南 长沙		1	1	2019	3	07	01	15
1	1	1	中国 福建 厦门		1	1	2019	3	07	01	09
1	1	1	中国 贵州 毕节		1	2	2019	3	07	01	
4	4	4	中国 云南		1	1	2019	3	07	25	11
2	2	2	中国 四川 自贡		1	2	2019	3	07	25	
1	1	1	中国 山西 太原		1	1	2019	3	07	25	15
5	5	5	中国 甘肃 兰州		1	2	2019	3	07	01	
1	1	1	中国 山西 晋城		1	1	2019	3	07	01	19
16	16	16	中国 广东 惠州		1	2	2019	3	07	25	
1	1	1	中国 江苏 镇江		1	1	2019	3	07	01	16
37	37	35	中国 广东 东莞		1	2	2019	3	07	01	
8	8	8	中国 湖北 武汉		1	1	2019	3	07	01	20
2	2	2	中国 河北		1	1	2019	3	07	01	09
3	3	3	中国 安徽 黄山		1	2	2019	3	07	25	
1	1	1	中国 河南 洛阳		1	1	2019	3	07	01	18
28	28	27	中国 山西		1	2	2019	3	07	25	
1	1	1	中国 湖北 宜昌		1	1	2019	3	07	25	14
2	2	2	中国 山东 青岛		1	1	2019	3	07	25	18
1	1	1	中国 中国		1	1	2019	3	07	01	13
2	2	2	中国 江西 宜春		1	1	2019	3	07	25	15
3	3	3	中国 湖北 黄石		1	2	2019	3	07	25	
3	3	3	中国 四川		1	1	2019	3	07	25	11
6	6	6	中国 广东 珠海		1	2	2019	3	07	01	
1	1	1	中国 河南 开封		1	1	2019	3	07	25	21
6	6	6	中国 广东 肇庆		1	2	2019	3	07	01	
2	2	2	中国 江苏 常州		1	1	2019	3	07	01	09
5	5	5	中国 陕西 宝鸡		1	2	2019	3	07	01	
1	1	1	中国 福建 泉州		1	1	2019	3	07	25	19
1	1	1	中国 陕西 安康		1	1	2019	3	07	25	18
11	11	11	中国 湖南 株洲		1	2	2019	3	07	01	
2	2	2	中国 山东		1	1	2019	3	07	01	18
1	1	1	中国 广东 汕头		1	1	2019	3	07	25	17
1	1	1	中国 四川 内江		1	2	2019	3	07	01	
1	1	1	中国 河南 漯河		1	1	2019	3	07	25	12
1	1	1	中国 安徽 淮南		1	1	2019	3	07	25	16
1	1	1	中国 广东 江门		1	1	2019	3	07	01	19
2	2	1	中国 广东 广州		1	1	2019	3	07	25	08
1	1	1	中国 黑龙江		1	1	2019	3	07	25	21
1	1	1	中国 甘肃 天水		1	1	2019	3	07	01	20
2	2	2	中国 江西 南昌		1	1	2019	3	07	01	09
3	3	2	中国 广西 贵港		1	1	2019	3	07	01	21
1	1	1	中国 辽宁 大连		1	1	2019	3	07	01	15
2	2	2	中国 山东		1	1	2019	3	07	25	16
2	2	2	中国 黑龙江 哈尔滨		1	1	2019	3	07	01	08
1	1	1	中国 河南 南阳		1	1	2019	3	07	01	15
2	2	2	中国 湖南 常德		1	1	2019	3	07	01	14
2	2	2	中国 陕西		1	1	2019	3	07	25	20
1	1	1	中国 宁夏		1	1	2019	3	07	01	11
2	2	2	中国 浙江 嘉兴		1	1	2019	3	07	01	19
2	2	1	中国 新疆 和田地区		1	1	2019	3	07	01	20
2	2	2	中国 河南 商丘		1	1	2019	3	07	25	22
1	1	1	中国 广东 汕尾		1	1	2019	3	07	01	16
3	3	3	中国 山西 运城		1	1	2019	3	07	01	16
1	1	1	中国 山东 莱芜		1	1	2019	3	07	25	12
1	1	1	中国 广西 梧州		1	1	2019	3	07	25	18
1	1	1	中国 河南 许昌		1	1	2019	3	07	01	11
1	1	1	中国 四川 达州		1	1	2019	3	07	25	15
2	2	2	中国 山东 聊城		1	2	2019	3	07	01	
1	1	1	中国 广东 惠州		1	1	2019	3	07	01	13
1	1	1	中国 云南 玉溪		1	1	2019	3	07	25	16
6	6	6	中国 河南 许昌		1	2	2019	3	07	25	
1	1	1	中国 四川 广安		1	1	2019	3	07	25	18
3	3	2	中国 安徽 池州		1	2	2019	3	07	01	
7	7	6	中国 山东 济南		1	1	2019	3	07	25	21
3	3	2	中国 浙江 金华		1	1	2019	3	07	01	16
11	11	11	中国 辽宁 大连		1	2	2019	3	07	25	
2	2	2	中国 福建		1	1	2019	3	07	25	22
1	1	1	中国 江西 景德镇		1	2	2019	3	07	25	
1	1	1	中国 贵州 黔西南布依族苗族自治州		1	1	2019	3	07	01	09
1	1	1	德国 德国		1	2	2019	3	07	01	
1	1	1	中国 江西 南昌		1	1	2019	3	07	25	12
1	1	1	中国 山东 枣庄		1	1	2019	3	07	25	16
2	2	2	中国 四川 自贡		1	2	2019	3	07	01	
1	1	1	中国 广东 揭阳		1	1	2019	3	07	01	19
